Description,Location,Number of Rooms,Price
"2 Bedroom Flat to Rent in Devonshire Place, Marylebone, W1G 6HX, London, W1G, 6HX | allAgents. Property id 2846778","                        London, Greater London                    ",2,2687.0
"5 Bedroom Flat to Rent in Fairfield Road, Edmonton, N18, Edmonton, N18, 2QP | allAgents. Property id 3047671","                        London, Greater London                    ",5,1850.0
"2 Bedroom Apartment to Rent in Princes Gate, Knightsbridge SW7, Brompton, London, SW7, 2QA | allAgents. Property id 381277","                        London, Greater London                    ",2,3900.0
"1 Bedroom Apartment to Rent in Fieldgate Street, London, E1, 1GU | allAgents. Property id 2993939","                        London, Greater London                    ",1,1387.0
"2 Bedroom flat to rent in Boydell Court, Hampstead, NW8","                        London, Greater London                    ",2,9125.0
"Property in Belsize Grove, NW3","                        London, Greater London                    ",1,1400.0
apartment for rent in London,"                        London, Greater London                    ",1,2600.0
"house at 2 14 Manstone Road, London, England, NW2 3","                        London, Greater London                    ",1,895.0
"A beautiful, three bedroom, three bathroom upper maisonette in a prime location in the heart of Parsons Green, Fulham","                        London, Greater London                    ",3,5000.0
apartment for rent in London,"                        London, Greater London                    ",3,3500.0
"2 Bedroom Apartment to Rent in Mermaid Court, Rotherhithe Street, London, SE16, SE16, 5UA | allAgents. Property id 2968238","                        London, Greater London                    ",2,1590.0
"2 Bedroom Flat to Rent in St Albans Mansions, Kensington, W8 5QH, High Street Kensington, London, W8, 5QH | allAgents. Property id 2846907","                        London, Greater London                    ",2,4333.0
"2 Bedroom Flat to Rent in Hamlet Gardens,, W6, 0RN | allAgents. Property id 3427568","                        London, Greater London                    ",2,3467.0
"2 Bedroom Apartment to Rent in Merchant Square, Paddington, W2 1AJ, Bayswater Road, London, W2, 1AJ | allAgents. Property id 2846846","                        London, Greater London                    ",2,3250.0
"2 Bedroom Apartment to Rent in Pan Peninsula, Millharbour E14, Tower Hamlets, London, E14, 9HL | allAgents. Property id 2917537","                        London, Greater London                    ",2,6500.0
"3 Bedroom Terraced House to Rent in Humberstone Road, Plaistow, Plaistow, E13, 9NJ | allAgents. Property id 1732762","                        London, Greater London                    ",3,1733.0
apartment for rent in London,"                        London, Greater London                    ",1,1850.0
apartment for rent in London,"                        London, Greater London                    ",1,4000.0
"shop to let in Camden Street, London, NW1 | Capital Homes Residential","                        London, Greater London                    ",1,2500.0
"other to let in Southbury Road, Enfield, EN3 | Capital Homes Residential","                        London, Greater London                    ",1,1516.0
Apartment for rent in London,"                        London, Greater London                    ",2,2496.0
"shop to let in Rosslyn Mews, London, NW3 | Capital Homes Residential","                        London, Greater London                    ",1,1666.0
"other to let in Caledonian Road, London, N1 | Capital Homes Residential","                        London, Greater London                    ",1,700.0
"4 Bedroom Flat to Rent in Rochester Square, London, Camden, London, NW1, 9HS | allAgents. Property id 2916959","                        London, Greater London                    ",4,2903.0
"3 Bedroom Detached House to Rent in Eleanor Close, Canada Water, SE16, Southwark, London, SE16, 6PE | allAgents. Property id 1789988","                        London, Greater London                    ",3,2708.0
"2 Bedroom Flat to Rent in Weymouth Street, Marylebone, W1G 7DU, London, W1G, 7DU | allAgents. Property id 2846906","                        London, Greater London                    ",2,2470.0
"2 Bedroom Apartment to Rent in Rotherhithe Street, London, SE16, SE16, 5UA | allAgents. Property id 2968235","                        London, Greater London                    ",2,1650.0
"2 Bedroom Apartment to Rent in Lavender Place, Royal Mint Gardens, London, E1, Royal Mint Gardens, E1, 8LG | allAgents. Property id 3208465","                        London, Greater London                    ",2,2699.0
"1 Bedroom Maisonette to Rent in Church Road, Hanwell, London, London, W7, 3BZ | allAgents. Property id 2960316","                        London, Greater London                    ",1,1160.0
"4 Bedroom Town House to Rent in W3 7FF, Acton, W3, 7FF | allAgents. Property id 411042","                        London, Greater London                    ",4,4182.0
"2 Bedroom Apartment to Rent in Hermit Road, Canning Town, Canning Town, E16, 4LG | allAgents. Property id 3430609","                        London, Greater London                    ",2,1898.0
"3 Bedroom Terraced House to Rent in Clarence Avenue, Clapham Park, SW4, Clapham Old Town, London, SW4, 8LQ | allAgents. Property id 2031080","                        London, Greater London                    ",3,2300.0
"2 Bedroom Apartment to Rent in Erebus Drive, Royal Artillery Quays, Riverside, Riverside, SE28, 0GL | allAgents. Property id 1059866","                        London, Greater London                    ",2,1750.0
"3 Bedroom Apartment to Rent in Merchant Square East, Edgware Road, London, W2, W2, 1AP | allAgents. Property id 3430429","                        London, Greater London                    ",3,6673.0
"3 Bedroom Flat to Rent in West Hendon Broadway, London NW9, Brent, London, NW9, 7AA | allAgents. Property id 2913449","                        London, Greater London                    ",3,1794.0
"1 Bedroom Maisonette to Rent in Dinton Road, Colliers Wood, London, SW19, 2AP | allAgents. Property id 3289736","                        London, Greater London                    ",1,1100.0
apartment for rent in London,"                        London, Greater London                    ",1,5633.0
"1 Bedroom Apartment to Rent in Cedar House, Nottingham Place, Marylebone, London, W1U, W1U, 5LU | allAgents. Property id 3430427","                        London, Greater London                    ",1,2816.0
house for rent in London,"                        London, Greater London                    ",4,3150.0
"4 Bedroom Terraced House to Rent in Western Lane, Balham, Sw12, Balham, London, SW12, 8JS | allAgents. Property id 2667718","                        London, Greater London                    ",4,3077.0
"2 Bedroom Terraced House to Rent in Harrier Mews, Thamesmead, SE28, 0DQ | allAgents. Property id 3427153","                        London, Greater London                    ",2,1550.0
"2 Bedroom Flat to Rent in Taeping Street, Isle of Dogs, E14, Tower Hamlets, London, E14, 9UT | allAgents. Property id 2917450","                        London, Greater London                    ",2,1408.0
"3 Bedroom Terraced House to Rent in Cottingham Road, Oval, SW8, Stockwell, London, SW8, 1LQ | allAgents. Property id 1790011","                        London, Greater London                    ",3,2383.0
"4 Bedroom Terraced House to Rent in Paulet Road Myatts Field Park, Camberwell, SE5, Southwark, London, SE5, 9HP | allAgents. Property id 2366601","                        London, Greater London                    ",4,2500.0
